Title,Takeaway,Authors,Year,Citations,Abstract,Study Type,Journal,Journal SJR Quartile,DOI,Consensus Link
"Multiple teachers‐meticulous student: A domain adaptive meta‐knowledge distillation model for medical image classification","The proposed domain adaptive model effectively classifies medical images, addressing domain shift, data distribution differences, and privacy concerns while maintaining similar performance to multiple deep learning models.","Shahabedin Nabavi, Kian Anvari, Mohsen Ebrahimi Moghaddam, A. A. Abin, A. Frangi",2024,4,"Deep learning (DL) has shown to be a powerful tool in medical image classification, yet it still faces major practical challenges. These include performance degradation due to domain shift, dependency on large-scale annotated datasets, high model complexity that limits deployment, and concerns regarding patient data privacy. To address these challenges, we propose a framework called Multiple Teachers-Meticulous Student (MT-MS) for source-free domain adaptive medical image classification using meta-knowledge distillation. In the proposed method, multiple teacher models trained on heterogeneous source domains are used to guide a compact student model without needing access to the source data. This source-free setup preserves privacy only by learning from parameters of teacher models. To enable robust adaptation to new target domains, the student learns to fuse and refine the knowledge from multiple teachers using a meta-learning strategy. The architecture integrates convolutional and attentive components to maximize knowledge transfer, and an adaptive training schedule balances teacher guidance during the learning process. We evaluate the proposed method on six public medical imaging datasets spanning various imaging modalities and clinical applications. The experiments focus on a binary classification task of respiratory motion artifact detection as a representative challenge. The results demonstrate that the MT-MS framework achieves strong performance in accuracy and F1-score while maintaining a lightweight structure suitable for deployment in real-world clinical environments. Overall, MT-MS provides a unified solution for source-free domain adaptation, data-efficient training, knowledge consolidation, and privacy preservation, making it a promising approach for practical medical image classification across domains.","","Medical Physics","1","10.1002/mp.70350","https://consensus.app/papers/multiple-teachersmeticulous-student-a-domain-adaptive-nabavi-anvari/c1818698bc9652a39a6788155bb0c804/"
"Leveraging FastViT Based Knowledge Distillation with EfficientNet-B0 for Diabetic Retinopathy Severity Classification.","","Jyotirmayee Rautaray, Ali B. M. Ali, Meenakshi Kandpal, Pranati Mishra, R. F. Rashid, Farzona Alimova, M. Kallel, Nadia Batool",2025,7,"","","SLAS technology","2","10.1016/j.slast.2025.100325","https://consensus.app/papers/leveraging-fastvit-based-knowledge-distillation-with-rautaray-ali/f86f6b1d80f85404833670633f13a613/"
"A review of deep learning-based information fusion techniques for multimodal medical image classification","Deep learning-based multimodal fusion techniques improve medical image classification, with potential for future advancements in Transformer-based techniques.","Yi-Hsuan Li, Mostafa EL HABIB DAHO, Pierre-Henri Conze, Rachid Zeghlache, Hugo Le Boit'e, R. Tadayoni, B. Cochener, M. Lamard, G. Quellec",2024,177,"","literature review","Computers in biology and medicine","1","10.1016/j.compbiomed.2024.108635","https://consensus.app/papers/a-review-of-deep-learningbased-information-fusion-li-daho/b621c4a35bd856e19991eed72c1c2b59/"
"Application of Semi-Supervised Learning in Image Classification: Research on Fusion of Labeled and Unlabeled Data","This paper proposes a new semi-supervised learning model using quadratic neurons and dropout layers to improve image classification accuracy in medical imaging diagnosis.","Sai Li, Peng Kou, Miao Ma, Haoyu Yang, Shuo Huang, Zhengyi Yang",2024,49,"Deep learning has attracted wide attention recently because of its excellent feature representation ability and end-to-end automatic learning method. Especially in clinical medical imaging diagnosis, the semi-supervised deep learning model is favored and widely used because it can make maximum use of a limited number of labeled data and combine it with a large number of unlabeled data to extract more information and knowledge from it. However, the scarcity of medical image data, the vast image size, and the instability of image quality directly affect the model’s robustness, generalization, and image classification performance. Therefore, this paper proposes a new semi-supervised learning model, which uses quadratic neurons instead of traditional neurons, aiming to use quadratic convolution instead of the conventional convolution layer to improve the feature extraction ability of the model. In addition, we introduce two Dropout layers and two fully connected layers at the end of the model to enhance the nonlinear fitting ability of the network. Experiments on two large medical public data sets - ISIC 2019 and Retinopathy OCT - show that our method can improve the model’s generalization performance and image classification accuracy.","","IEEE Access","1","10.1109/access.2024.3367772","https://consensus.app/papers/application-of-semisupervised-learning-in-image-li-kou/7ccd48e23f555e828a407ac0bae55f43/"
"Efficient image classification through collaborative knowledge distillation: A novel AlexNet modification approach","The modified AlexNet architecture with depthwise-separable convolution layers and Teacher-Student Collaborative Knowledge Distillation (TSKD) maintains high accuracy and robustness in image classification tasks, even with limited computational resources.","Avazov Kuldashboy, Sabina Umirzakova, Sharofiddin Allaberdiev, R. Nasimov, A. Abdusalomov, Y. Cho",2024,17,"","","Heliyon","1","10.1016/j.heliyon.2024.e34376","https://consensus.app/papers/efficient-image-classification-through-collaborative-kuldashboy-umirzakova/148b502bc580540b9f07d9d324b00e1c/"
"Stepwise self-knowledge distillation for skin lesion image classification","SW-SKD effectively improves dermatological image classification performance by efficiently exploring learning objectives through feature rectification and logit rectification blocks.","Jian Zheng, Kewei Xie, Dingwen Zhang, Zhiming Lv, Xiangchun Yu",2025,5,"Self-knowledge distillation, which involves using the same network structure for both the teacher and student models, has gained considerable attention in the field of medical image classification. This approach enables knowledge distillation without requiring pre-training the teacher model. However, current self-knowledge distillation methods encounter difficulties in determining appropriate learning objectives for the next stage, which limits the improvement potential of the student model. In this paper, we present a Stepwise Self-Knowledge Distillation framework called SW-SKD, which is utilized to enhance the performance of dermatological image classification. Our framework incorporates a stepwise distillation strategy to efficiently explore the learning objectives by the feature rectification block (FRB) and the logit rectification block (LRB). In the FRB block, we extract the attention of the last stage of the network backbone and consider the attention-corrected features as the learning objective. The stepwise distillation based on FRB is accomplished by performing attention-based intermediate feature distillation from back to front; the LRB block implements logit-based knowledge distillation by adjusting the maximum value of the logit prediction output to match the correct index. This adjustment based on LRB serves as the learning objective for the next stage, progressing from back to front. Our proposed SW-SKD framework effectively improves dermatological image classification. To prove its effectiveness, extensive experiments are conducted on HAM10000, ISIC2019, and Dermnet datasets. On HAM10000 with ResNet50 and ResNet101 serving as the baseline networks, compared to the second-best method, Precision improves by 0.8% and 1.4%, and Recall by 2.1% and 0.9% after weighted averaging. On ISIC2019 with the same baseline networks, average Precision improves by 0.5% and 0.9%, and average Recall by 1.1% and 0.7%. It also outperforms other mainstream methods. The results show SW-SKD can significantly enhance the student model's performance in dermatological classification.","","Scientific Reports","1","10.1038/s41598-025-10717-4","https://consensus.app/papers/stepwise-selfknowledge-distillation-for-skin-lesion-zheng-xie/04b200ce1c0d526a94ada453234fdbdf/"
"Clinically Aware Learning: Ordinal Loss Improves Medical Image Classifiers","Ordinal-aware loss functions improve BI-RADS mammogram classification performance and reduce severe misclassifications compared to conventional cross-entropy approaches.","Arsenii Litvinov, Egor N. Ushakov, Sofya A. Senotrusova, Kirill Lukianov, Yury Markin, L. Mikhailova, Evgeny Karpulevich",2026,0,"BI-RADS (Breast Imaging Reporting and Data System) mammogram classification is central to early breast cancer detection. Despite being an ordinal scale that reflects increasing levels of malignancy suspicion, most models treat BI-RADS as a nominal task using cross-entropy loss, thereby disregarding the inherent class order. This mismatch between the clinical severity of misclassification and the model's optimization objective remains underexplored.We systematically evaluate whether incorporating ordinal-aware loss functions improves BI-RADS classification performance under controlled, architecture-fixed conditions and dataset imbalance. Using a unified training pipeline across multiple datasets, we compare ordinal losses to standard cross-entropy, analyzing the effect of dataset- and label-level balancing. Area under the receiver operating characteristic curve (AUROC) and macro-F1 scores are reported as averages over five seeds.Balanced sampling across datasets during training led to statistically significant improvements. Ordinal loss functions, such as Earth Mover Distance (EMD), consistently achieved higher performance across multiple metrics compared to conventional cross-entropy approaches commonly reported in the literature. Improvements were particularly evident in reducing severe misclassifications, demonstrating that aligning the learning objective with the ordinal structure of BI-RADS enhances robustness and clinical relevance.Aligning the learning objective with the ordinal BI-RADS structure substantially improves classification accuracy without changing the underlying architecture. These findings emphasize the importance of loss design, regularization, and data-balancing strategies in medical AI, supporting more reliable breast cancer screening.","","Journal of Clinical Medicine","1","10.3390/jcm15010365","https://consensus.app/papers/clinically-aware-learning-ordinal-loss-improves-medical-litvinov-ushakov/cb761b038c855f22b6662e953615e6ce/"
"Cross-Architecture Knowledge Distillation (KD) for Retinal Fundus Image Anomaly Detection on NVIDIA Jetson Nano","","Berk Yilmaz, Aniruddh Aiyengar",2025,2,"Early and accurate identification of retinal ailments is crucial for averting ocular decline; however, access to dependable diagnostic devices is not often available in low-resourced settings. This project proposes to solve that by developing a lightweight, edge-device deployable disease classifier using cross-architecture knowledge distilling. We first train a high-capacity vision transformer (ViT) teacher model, pre-trained using I-JEPA self-supervised learning, to classify fundus images into four classes: Normal, Diabetic Retinopathy, Glaucoma, and Cataract. We kept an Internet of Things (IoT) focus when compressing to a CNN-based student model for deployment in resource-limited conditions, such as the NVIDIA Jetson Nano. This was accomplished using a novel framework which included a Partitioned Cross-Attention (PCA) projector, a Group-Wise Linear (GL) projector, and a multi-view robust training method. The teacher model has 97.4 percent more parameters than the student model, with it achieving 89 percent classification with a roughly 93 percent retention of the teacher model's diagnostic performance. The retention of clinical classification behavior supports our method's initial aim: compression of the ViT while retaining accuracy. Our work serves as an example of a scalable, AI-driven triage solution for retinal disorders in under-resourced areas.","","ArXiv","","10.48550/arxiv.2506.18220","https://consensus.app/papers/crossarchitecture-knowledge-distillation-kd-for-retinal-yilmaz-aiyengar/6d15d1c7cef45d43b0652106b0b9f23b/"
"Medical Image Classification Based on Transformer Model and Ordinal Loss","MedViT, a transformer model, outperforms classical methods in medical image classification, with Ordinal Loss improving performance on ordinal regression subtasks.","Yan Liu",2024,3,": This study centers on the application of transformer models for general medical image classification, a crucial step towards automating medical diagnostics. By comparing transformer models with classical methods across diverse medical image datasets, this research aims to enhance performance on specific tasks within these datasets. The core model, Medical Vision Transformer (MedViT), effectively learns multi-scale features by integrating convolutional layers with specialized transformer modules, thereby catering to various medical image classification tasks across different categories. Moreover, this study introduces Ordinal Loss to augment the model's performance on ordinal regression subtasks. Unlike conventional cross-entropy loss, Ordinal Loss facilitates improved learning of sequential relationships between categories. Experiments conducted on MedMNIST validate that MedViT surpasses classical methods on most datasets, with Ordinal Loss further enhancing performance on ordinal regression subtasks. Visual analysis also confirms that the new loss function aids the model in effectively discerning key differences between adjacent categories. This research demonstrates the feasibility of employing a general-purpose transformer model to address medical image classification challenges across multiple domains. Additionally, plug-and-play modules can be leveraged to optimize the model for specific tasks, underscoring its versatility and potential for broader application in medical diagnostics.","","Proceedings of the 1st International Conference on Engineering Management, Information Technology and Intelligence","","10.5220/0012969200004508","https://consensus.app/papers/medical-image-classification-based-on-transformer-model-liu/30ba736108ad5f2095b574e8c055ec62/"
"Image preprocessing-based ensemble deep learning classification of diabetic retinopathy","Ensemble deep learning models using diverse individual models, including poor-quality images, outperform single deep learning architectures in diabetic retinopathy classification accuracy.","Peter Macsik, Jarmila Pavlovičová, S. Kajan, J. Goga, Veronika Kurilová",2023,29,"Diabetic retinopathy (DR) can cause irreversible eye damage, even blindness. The prognosis improves with early diagnosis. According to the International Classification of Diabetic Retinopathy Severity Scale (ICDRSS), DR has five stages. Modern, cost‐effective techniques for automatic DR screening and staging of fundus images are based on deep learning (DL). To obtain higher classification accuracy, the combination of several diverse individual DL models into one ensemble could be used. A new approach to model diversity in an ensemble is proposed by manipulating the training input data involving original and four variants of preprocessed image datasets. There are publicly available datasets with labels for all five stages, but some contain poor‐quality images. In contrast, this algorithm was trained on images from a six‐class DDR dataset, including the class of poor‐quality ungradable images, to enhance the classification performance. The solution was evaluated on the APTOS dataset, containing only ICDRSS classes. Classification results of the ensemble model were presented on two different ensemble convolutional neural network (CNN) models, based on Xception and EfficientNetB4 architectures using two fusion approaches. Our proposed ensemble models outperformed all other single deep learning architectures regarding overall accuracy and Cohen's Kappa, with the best results using the EfficientNetB4 architecture.","","IET Image Process.","2","10.1049/ipr2.12987","https://consensus.app/papers/image-preprocessingbased-ensemble-deep-learning-macsik-pavloviov/892cc48fc18c51cea654df8b8dd1a0de/"
"Adaptive multi-teacher knowledge distillation framework with foundation models for medical image analysis.","","Dudu Liu, Yuan Gao, Ningying Zhang, Xin Wang, Tianyu Zhang, Ming Fan, Yue Sun, Shuo Li, T. Tan",2026,0,"","","Computerized medical imaging and graphics : the official journal of the Computerized Medical Imaging Society","1","10.1016/j.compmedimag.2026.102739","https://consensus.app/papers/adaptive-multiteacher-knowledge-distillation-framework-liu-gao/3ab8b416c6165010aa2d834a156e0422/"
"CTANet: A hybrid CNN and ViT network with adaptive focus fusion for diabetic retinopathy grading","","Sanli Yi, Yanyou Ren, Dangguo Shao",2025,1,"","","Biomed. Signal Process. Control.","1","10.1016/j.bspc.2025.109106","https://consensus.app/papers/ctanet-a-hybrid-cnn-and-vit-network-with-adaptive-focus-yi-ren/8213f725025a57a8bc60fc5e4876832e/"
"Weighted kappa measures for ordinal multi-class classification performance","Weighted Scott's pi-measure is a useful and reliable metric for evaluating ordinal classifiers under various conditions, particularly under imbalanced data compositions.","Ayfer Ezgi Yılmaz, H. Demirhan",2023,79,"","","Appl. Soft Comput.","1","10.1016/j.asoc.2023.110020","https://consensus.app/papers/weighted-kappa-measures-for-ordinal-multiclass-ylmaz-demirhan/4b7e694254e55e45bd1e7be81418602b/"
