model,technique,best_epoch,best_val_qwk,test_loss,training_time_min,test_accuracy,test_precision,test_recall,test_f1_score,test_specificity,test_roc_auc,test_qwk
cvits,rotation,18,0.710940503801456,0.8172410770223059,19.6,0.6986899563318777,0.6194094060800284,0.6986899563318777,0.6328992061169075,0.9128436567188662,0.898227025849432,0.6894087626005532
cvits,class_weight,80,0.6765586477926107,0.99469211954495,15.1,0.5807860262008734,0.708246906359215,0.5807860262008734,0.6087596716825143,0.9025552076944452,0.8974202169412253,0.6655514387033932
cvits,clahe,37,0.7417401524894924,0.8529050596829119,14.7,0.6965065502183406,0.709940432342177,0.6965065502183406,0.6435819780918239,0.9136672891154222,0.9015628741236694,0.6846106708669764
dual_expert,rotation,80,0.8534545779666455,1.139635515921139,12.6,0.759825327510917,0.7499289647741317,0.759825327510917,0.7527441527531421,0.9366813767904582,0.9319123993907868,0.8170620535454378
dual_expert,class_weight,44,0.809123247965461,0.8298447907998644,7.4,0.6997816593886463,0.7327977971809849,0.6997816593886463,0.7043360940198897,0.9263416747973846,0.9236620325413508,0.7533336171662126
dual_expert,clahe,43,0.8347654816845926,1.6003059970921485,7.4,0.7390829694323144,0.7327108512552568,0.7390829694323144,0.7293679233278572,0.9308019647478056,0.9186899765943208,0.7819361239678576
cvits,rotation_focal_loss,60,0.7248972456248024,0.7774926172248249,19.7,0.7183406113537117,0.7090694675023747,0.7183406113537117,0.6516849318640722,0.918575713194927,0.9080479603616112,0.725327304823069
cvits,rotation_mixup,28,0.7015858303179385,0.8285801292493425,19.8,0.6997816593886463,0.6688105612223301,0.6997816593886463,0.6467393096218422,0.9150476012717552,0.9024012741734858,0.6950884800167978
cvits,clahe_rotation_focal_loss,43,0.7199710564399422,0.8668057964793567,19.7,0.7052401746724891,0.619830035698468,0.7052401746724891,0.6332744643076179,0.9151488262675144,0.9052177144651088,0.7120418666049821
dual_expert,rotation_focal_loss,64,0.7684721856436368,0.8247123409447998,12.5,0.7270742358078602,0.7209103324460735,0.7270742358078602,0.717134565950924,0.9275720220810147,0.9134905482169192,0.751590284921375
dual_expert,rotation_mixup,67,0.8126968525923113,0.8418876849885645,12.5,0.74235807860262,0.7340928066909614,0.74235807860262,0.7323226274225141,0.9324637618884974,0.9232374839910192,0.7744769051689413
dual_expert,clahe_rotation_focal_loss,79,0.8254357798165137,0.84592658602472,12.5,0.7543668122270742,0.7389624024333327,0.7543668122270742,0.7306023968655154,0.9316085659610553,0.918790354856067,0.7952996109961246
